mendemobilisasikan	demobilize||1
perusahaan perseroan	company||1
sedemikian sehingga kedua wujud fase perkembangan	developmental||1
responsif terhadap	responsive||1
rangka mengurangi	reduce||1
pajak	taxation||1 tax||1 taxes||1
kartu kompensasi bbm kkb rumah berupa	cards||1
mengamankan alat navigasi gps	gps||1
sedangkan khas nonya	nonya||1
kecukupan car	adequacy||1
suku bunga suku bunga lima	interest||1
tingkatan	levels||18 degree||3 level||9
mempunyai berbeda sehingga	differing||1
dikarenakan obat ampuh membunuh	kills||1
diukus dahulu sebelum seluruhnya	whole||1
menetapkan upaya stategi mendorong	push||1
penyebab alami kata	causes||1
jharkhand ranchi	ranchi||1
lintas	cross||1
mortir ke arah	mortars||1
seekor siput bergerak	snail||1
tersendiri bersifat independen	independent||1
dpr/dpd	parliament||2
menurut sri	sri||1
contoh-contoh	examples||1
selatan ibu	south||1
developer	developers||1
mengenal keduanya sebagai pengikut yesus	jesus||1
peraturan pengurangan kerugian masih dikerjakan	deficit-reduction||1
komunikasi murah	cheaper||1
skuad sven-goran eriksson ditimpakan	sven-goran||1
membuka kunci	unlocked||1
ia menyebutkan penurunan	lowering||1
dari segi lalembo	lalembo||1
briket	briquettes||1
remaja berdasarkan	teenagers||1
kalinya tseng mendapatkan angka	tseng||1
faktor-faktor mungkin menjelaskan seperti cukup mendalam	likely||1
cukup tinggi usaha sudah dilakukan usaha diversifikasi	diversification||1
ketergantungan terhadap utang	dependency||1
pemahaman mengenai krisis sense of crisis	crisis||1
kredit rasio	ratio||1
kornreich seorang	kornreich||1
ditanyakan	asked||1
binatang korban	sacrifices||1
komunitas jawa	javanese||1
menyakitkan	painful||1
kepemilikan jiangsu	jiangsu||1
antar pulau	inter-island||2
hiang daging	hiang||2
keleluasaan terus-menerus mengganti	constantly||1
penting lagi	importantly||5
mulia	benign||1 majeste||1 lofty||1 glorious||1 noble||1
memodifikasi pihak-pihak bertanggung jawab	modifies||1
terbentur...	collide||1
saat berlatih fisik melakukan aktifitas joging	jogging||1
tetap mendominasi	dominate||1
distrik bokaro sekitar	bokaro||1
sue adalah cara dipikirkannya	sue||1
membuang-buang waktu esha	esha||1
seorang machikin	machikin||1
memantul tengah	bounces||1
emiten saham	issuers||1
juru runding	negotiators||1 negotiator||1
disiapkan nenad	nenad||1
lagi marcee	marcee||1
mandira sanni	mandira||1
gubernur mengharapkan sinergi	synergy||1
menghangatkan ruangan kata	halls||1
penumpang lepas-landas	passengers||1
prestasi dicapai	achievements||1
seluruhnya negara bagian sabah	sabah||1
ringan	lightly||1 light||1 lightest||1 lighter||1 lightness||1 minor||1
terpendek	shortest||1
pelabuhan atapupu	atapupu||1
pelanggan	customer||22 customers||113 consumers||6 clients||4 client||2 subscribers||10
bapa sehingga	fathers||1
gallas meminta kaosnya	gallas||1
kelelawar terlalu sifatnya sehingga	bats||1
relokasi	relocation||1
perlu dipecahkan	resolved||1
sedikitnya ada	there||1
induknya	parent||1 mother||1
balon mana	balloon||1
memberikan signifikan	significant||1
terdampar	stranded||2
terealisir	embodied||1 realized||1
saham indeks	stock-index||1
mengherankan jika jamsostek sebenarnya	actual||1
semester satu	semester||1
dimana nikaragua	nicaraguan||1
berikutnya	after||1 subsequent||1 later||1 next||1 ensuing||1 following||1
menggantikan presidensi	replaces||1
atas organisasi terkait kendaraan	motoring-related||1
makan malamnya	dinner||1
usaha rotan	rattan||1
adalah the black widow of valuation 	valuation||1
sebuah transkrip	transcripts||1
semua karena kesalahan	fault||1
amat menarik	attracted||1
dijadwalkan melakukan pemungutan suara	vote||1
peminjam	borrowers||1 lender||1 lenders||1 borrower||1
saya selama embrio	embryo||1
tersebut mengiklankan	advertised||1
terjadinya ereksi	erection||1
menyampaikan	delivered||5 submitting||1 convey||7 extend||2 relayed||2 submitted||7 express||5 deliver||3 submit||5 conveyed||7 expressed||5 expressing||1 address||2 remarks||1 presented||2 presenting||1
improvisasi uruzgan afghanistan	uruzgan||1
temuan	finding||19 invention||1 findings||23 discovery||1
kata ap	ap||2
tatsuhara yamane	yamane||1
buku the origin of	origin||1
hewan bertulang belakang	vertebrate||1
terumbu	coral||1 reef||1
dikarenakan produksi menjadi jarang	scarce||1
percontohan	pilot||1
pendaftaran pendaftaran	registration||1
dini	early||42 young||1
para gembala mendapat berita tentang	shepherds||1
penyesuaian-penyesuaian dilakukan oleh kemasyarakatan barang-barang tangga	assets||1
secara diplomatis	diplomatically||1
sementara jankovic	jankovic||1
pengadaan barang/jasa	procurement||1
langkah koreksi sesuai	corrections||1
teori kematian	theories||1
berjudul more	more||1
embun	dew||1
nantes mengatasi setiap dilancarkan	nantes||1
polifenol	catakin||1
as often as not pertarungan	fights||1
berkelakuan	behaved||1
penjamin	underwriter||1 insurers||1 underwriters||1
tahun tahunan	annual||1
para donor materi/muatan hukum-hukum ataupun menentukan	donors||1
resmi/tidak resmi penyampaian pengaduan	unofficial||1
sains s	sciences||1
ali ali petinju	ali||1
inflasi	inflationary||1 inflation||1
kegiatan di australia konsultasi	australia||1
tak terelakkan	inevitable||2
hertha tangga	hertha||1
depan publik	public||1
pemberdayaan umkm	msmb||1
hotel	hotels||1
tim lagi berjuang	struggling||4 strugglers||2
kepolisian kata barris	barris||1
kongress	congress||3
rakyat mesir	egyptians||1
sankaranthi awalnya	sankaranthi||1
tidak ada sesuatu	nothing||1
berita 	news||1
sebelum tahun sudjarwo	sudjarwo||1
chicago-manchester kata petinggi perusahaan	chicago-manchester||1
bersedia mengadakan pembicaraan syarif	sharif||1
sebelah timurlaut	northeast||2
wanderers demikian	wanderers||1
memantau	tracking||1 monitored||1 monitor||1 track||1 observe||1 follow||1 monitoring||1 monitors||1
tanaman padi	paddy||1
paradigma persekolahan	paradigm||1
orang jawa keagamaan	javanese||1
berdasarkan kebutuhan kebutuhan riil mewakili	representing||1
perairan	waters||1 shatt||1
kabupaten/kota daerah	districts||1
evaluasi	evaluation||1 evaluating||1
dalam hatiku aku menyimpan janji-mu supaya	your||2
pendengaran	auditory||1 hearing||1
kisaran bantuan	range||1
dipimpin the of korean perbatasan hukum diajukannya	led||1
kegiatan amal resmi	charity||1
petinju sang-hyun menghentikannya ronde	sang-hyun||1
bermain klub	club||1
berdoa untuknya	prayed||1
of siberia	siberia||1
sejak saat pengusaha	entrepreneurs||1
pengawasan ketat	scrutiny||2
garment sedang mengerjakan	garment||1
tanahnya	land||1
bila kau tak berlari kau tak akan menang	win||1
disediakan	provided||1 given||1
pengumuman persetujuannya	announcement||1
terus mengamati	watching||1
geomagnetik	geomagnetic||1
mendapatkan kembali	regain||1
peraturan beeper	beeper||1
pastur paroki	priest||1
sepatutnya membalas dendam	avenge||1
masih rendah menyebabkan berpendidikan	educated||1
berikut ini penilaian adil	righteous||1
donor	donors||31
arah armando ketika penjaga gawang bergerak	armando||1
mya sudah sehat	mya||1
dokter membiayai bicara	talk||1
kader diamanatkan juklak rangka	juklak||1
dekat hal	nearby||1
kabupaten/kota	districts||1 district||1
keluarkan	expelled||1
wawasan	insight||1
apakah melakukannya	do||1
program yakni australian program	programs||1
kekayaannya	riches||1
terindah	beautiful||1
goyah	falter||1 shaky||1
penuh misteri	mysterious||1
sekarang lagi	anymore||1
zun wang	zun||2
berzinah	adultery||1
mengantungi angka poin	points||1
suaka	asylum||3 sanctuary||1
jasa perantara sangat	intermediaries||1
segera setelah keluar jalan nomor	exit||1
tim papan bawah	bottom||1
pasti memandu	surely||1
semburan lumpur panas	mudflow||1
or olay	olay||1
bea siswa	scholarship||1
objek pengamanan pembinaan usaha perkebunan	plantation||1
terbawa arti sebenarnya perintah pembunuhan	assassinations||1
rtc	rtz||1
tunjangan hanyalah lulus portofolio	allowance||1
allah menginspirasi	inspired||1
pemimpin setempat	leaders||1
mengeluhkan	complained||1 complain||1
walaupun begitu hanya sedikit petisi	petitions||1
komoditas perikanan	commodities||1
kedalam pengukuran	measurement||1
berteknologi tinggi	high-tech||1
ada sebutnya	exist||1
barang maka	cargo||1
surabaya	surabaya||39
puncak klasemen seri	serie||1
penulis kisah	author||1
kewajiban tercantum	obligations||1
suku hutu	hutu||1
via video	video||1
diperkirakan akan	projected||1
penambahan tentara berhasil katanya	troop||1
mempertunjukkan	demonstrate||1
pihaknya yakin	believed||1
berpendapatan halnya para pensiunan kecil	pensioner||1
sebelum kita mengambil keputusan demi keputusan	choices||1
tulis toilet listrik	electricity||1
carvalho sudah	carvalho||1
glam bagian	glam||1
aku waktuku	me||1
easy manapun ia enggak berkomentar	easy||1
merancang ulang	redesigned||1
satu  darah nakal 	blood||1
sitosol	cytosol||2
keran kebersihan terjamin	tap||1
chef chef	chef||1
usia paling muda saat	youngest||1
masing-masing sekolah	schools||1
menggambarkan berbagai	depicting||1
maksudkan tempat memamerkan	showcase||1
dilihat per terjadi keterlibatan	involvement||1
kenyal sampai	chewy||1
mengenai rumah tangga	household||1
tajam	acute||1 sharply||38 sharp||37
demonstran	demonstrators||1 protesters||1 protestors||1
kekurangpahaman orangtua siswa	parents||1
jumlah gaji pekerja bekerja	salaries||1
mamby putera	mamby||1
marcus analis	marcus||1
patahan ferdinand	ferdinand||1
[title-insurance] dibuatnya menurut kegunaan	title-insurance||1
menghasilkan sebagian	generates||1
pengobatan estetik	aesthetic||1
hess	hees||2
tuntutan ganti rugi	damages||1
program-program nuklir utara	programmes||1
satu lain	another||1
dengan memanfaatkan awalnya subisidi kian berkembang	using||1
secara intensif	intensively||5
sanggup bernegosiasi 	negotiate||1
mengajukan	requested||1 proposing||1 proposed||1 propose||1 nominating||1 ask||1 submit||1 lodge||1 posited||1 file||1 filed||1 put||1 apply||1 asked||1
sembunyi	hide||1
tarpishchev tidak menurunkan datang	tarpishchev||1
latin	america||1 latin||17
jenis-jenis	types||1
latih	trainer||1
masyarakat desa/kelurahan	villagers||1
ditemani striker	strikers||1
petunjuk bimbingan sedangkan bimbingan	guidance||1
ambillah	take||1
jr ou	ou||1
menghubungkan sector	connecting||1
hal nyaris dimiliki	almost||1
laut semakin langka	marine||1
of the chief counsel	counsel||1
mixte umumkan	mixte||1
berbisnis	business||1
network juga	network||1
bayaran jumlahnya minim sekitar	around||1
tambahan pasukan	troops||1
- pembantaian masal tanggal	massacre||1
gilirannya	turn||1
perlihatkan pohon fisiologi	physiology||1
menurut hasil	according||1
demikian pernyataan	statement||1
kasus prodeo	case||1
pellegrino selama	pellegrino||1
kemunafikan orang	hypocrisy||1
komplain atas berjudul akal pernah sebelumnya 	ever||1
kegiatan sadar	conscious||1
mana kapitalisme	capitalism||1
model model	models||2 model||1
belajar caranya menyikapi kejadian	learn||1
penghitungan sederhana hasil	simple||1
telepon rumah-rumah	telephone||1
milisi sadr	militia||1
yakni rawat inap	inpatient||1
pekka pekka	pekka||1
keterangan terinci mengenai hal	details||1
tendangan pojok	corner||13
tetap membuat	keep||1
pelosok negeri	country||1
komedi situasinya	sitcom||1
baiknya	good||7
mahar dikontraknya	dowry||1
kuantitas keberadaan dinilai masih kurang	quantity||1
private placement	placement||1
pada pertandingan sebelumnya	earlier||1
sama pengisian akhirnya akan menghasilkan	filling||1
kepada pengusaha pengusaha	entrepreneurs||1
pemalsuan	forgery||1 falsification||1
georgia	georgian||5 georgia||37
balon udara	ballooning||1 balloon||1
membujuk agar beritanya internet	persuading||1
demikian kebanyakan	majority||1
siapa bertemu	met||1
tingkat properti meningkat dahulu dipercaya oleh	property||1
louisville ky	louisville||1
angka persentase antara hasil fgd hasil perhitungan spkm distribusi	distribution||1
jadi hidrokarbon	hydrocarbon||1
station wagon	wagon||1
hal-hal menyangkut	matters||1
lembah dahulu	valleys||1
akibat tumor	tumor||1
bursa decliners sebesar	decliners||1
demi halus	delicate||1
kondusif cukup	conducive||1
dimasa lalu	past||1
pengguna	user||3 users||2
membongkar penyamarannya scooter	scooter||1
cukup fundamental	fundamental||1
terluar	outer||4
secara regular	regularly||2
kerbau menjadi subyek dan/atau mulai provinsi	buffalo||1
arena adil	fair||1
menerima disiplin	discipline||1
prasarana/sarana lingkungan permukiman	residential||1
diduga balik peristiwa dua pembunuhan	killings||1
perlu lisensi	license||1
melakukan menghancurkan	shatter||1
bergotong royong warganya habis terbakar	burnt||1
data bej per	bej||4
rwanda sehubungan	rwanda||1
memberkati	bless||9 blessed||2
serikat internasional perkumpulan tukang mencari	craftsmen||1
lain mendukung	supporting||1
itu sangat memalukan	outrageous||1
realisme	realism||1
saat pan-american summit	pan-american||1
mungkin semacam	perhaps||1
tidak diketahui	unknown||1
kerangka pelaksanaan	framework||1
pradesh menemukan	pradesh||1
different trains  string	different||1
pasien internasional	patients||1
serta menahan sejumlah	arrest||1
koppel memperkenalkannya jagoan	koppel||1
terkait lain berbagai pihak relevan	relevant||1
baru memberitahu	told||1
lusinan lainnya antara	dozens||1
tiket	tickets||1 ticket||1 ticketing||1
pemerintah provinsi	provincial||1
mengungsikan	evacuate||1
gambaran	picture||1 image||1 figures||2 description||1 outlook||1
kalau jorong	jorong||1
para dokter	doctors||1
haleluya	alleluia||2
serangan paling mematikan	deadliest||1
jasa rental pengetikan komputer	typing||1
rancangan buat	bill||1
sosialisasi aparat	socialization||1
berlaku adil terhadap	fair||1
bisa lebih beruntung	lucky||1
membentuk lebih adil	fairer||1
libur	close||1 holiday||1 off||1
alfabet	alphabet||3
banyak kesalahan	errors||1 plenty||1
mencakupi wawancara	interviewing||1
penanggulangan	tackle||1 prevention||2 eradication||8 alleviation||1
menabung bentuk pemeliharaan besar sapi	cows||1
middlesbrough pekan	middlesbrough||1
pemikiran bawah sadar para	subconscious||1
seluruh dunia (worldwide governance indicators) disusun posisi awal	worldwide||1
gaji	wage||57 salary||32 paycheck||1 pay||17 payroll||2 salaries||15 wages||19
diketahui ditetapkan	determined||1
gelar gelar	titles||1 title||1
baru emerging	emerging||1
rakyat kur	kur||2
berturut-turut pironkova	pironkova||1
perlukan	need||1 needed||1
baru lahir	newborn||1
tersebar seluruh	throughout||2
tim debutan	debutants||1
baitul wa	baitul||1
alam segala manusia	nature||1
vendor	vendors||1
pemain depan pemain	forward||1
transformasi	transformation||4 transform||1
mencantumkan anak laki-laki	sons||1
pemain juliane	juliane||1
wasit	umpire||2 referee||1 referees||1
makato utsumi	makato||1
sirkuit-terintegrasi (integrated-circuit)	integrated-circuit||1
lokal daerah	local||1
meneliti foto-foto	photographs||1
seluruhnya bila netral dipikirkan	neutral||1
langkah-langkah	moves||3 steps||1 measures||20
intimidasi	intimidation||1
identifikasi tanda	identification||1
montpelier riset tentang isu-isu	montpelier||1
gagal merasa perlu	||1
piagam cukup	charter||1
perusahaan kata pefindo	pefindo||1
membayangkan betapa begitu tidak sabar	impatient||1
pilihan	selection||1 option||1 alternatives||1 preferred||1 choices||1 resort||1 alternative||1 choice||1 options||1
pada akhir	late||1
para guru	teachers||4
bantuan sebelumnya indonesi	previous||1
sifat-sifat	traits||9 properties||1
hubungan konstruktif	constructive||1
tim lagi berjuang tangga	strugglers||1
harta milik	property||1
pagu	allotment||3
mitigasi tentang hal	mitigation||1
harga nikel dirasakan antam	antam||1
bahkan pihak	moreover||1
mahut berjuang keras	mahut||1
kata-kata berikut	words||2
jika pennzoil	pennzoil||1
dua menu harus cabbage kubis gulung	cabbage||1
melakukan perjalanan	travel||1 travelling||1 travelled||1 trip||1
amerika terancam punah karena	endangered||1
dipengaruhi tinggi grimm	grimm||1
melewati banyak besi ringsek berserakan sambil berseru siapa pertolongan	help||1
kebangkrutan	collapse||1 bankruptcy||1
apec anti-corruption taskforce	taskforce||1
puas terhadap pelaksanaan	satisfied||1
integrated circuits	circuits||1
menatap balon terbang terlihat hanyalah titik langit balon menghilang	dot||1
perlu alih-alih barang kecurigaan 	suspicion||1
bidang-bidang lain	other||1
emosi ungkapkan lebih dulu	emotion||1
diluncurkan oktober	october||1
sistim halting	halting||1
angin tornado	tornado||1
membidik	aim||1
gejolak minyak mentah	crude||1
tidur saja	bed||1
sengaja tinggal	stayed||1
promosi sebagainya	promotion||1
bagian tenggara --	southeast||1
profil kemiskinan	poverty||2
keadaan apapun	circumstances||1
peniti	pin||1
imbalan sejumlah	compensation||1
kolonial	colonial||1
tidak menghalangi undang-undang	blocking||1
pemegang saham	shareholders||1 stockholders||1 shareholder||1 holders||1 stockholder||1
dahsyat	awesome||1 devastating||1
berbatov dimainkan	berbatov||1
pondasi sebagai landasan	foundation||1
sebesar lima sen tiap	five-cent||1
